日期,时间段,充电量kWh,放电量kWh
2025-03-20,0:00-4:00,4407.41,0.0
2025-03-20,4:00-8:00,925.93,5843.76
2025-03-20,8:00-12:00,3477.85,1472.51
2025-03-20,12:00-16:00,6861.13,1058.31
2025-03-20,16:00-20:00,0.0,5649.27
2025-03-20,20:00-24:00,5333.33,2990.73
2025-03-20,0:00储电量,6000.0,
2025-03-20,24:00储电量,6000.0,
2025-06-21,0:00-4:00,0.0,615.05
2025-06-21,4:00-8:00,5.56,3709.46
2025-06-21,8:00-12:00,3623.07,0.0
2025-06-21,12:00-16:00,7012.11,0.0
2025-06-21,16:00-20:00,31.49,6133.54
2025-06-21,20:00-24:00,5333.33,2506.46
2025-06-21,0:00储电量,6000.0,
2025-06-21,24:00储电量,6000.0,
2025-09-23,0:00-4:00,4407.41,0.0
2025-09-23,4:00-8:00,925.93,6030.46
2025-09-23,8:00-12:00,4592.15,1424.02
2025-09-23,12:00-16:00,6370.49,1425.25
2025-09-23,16:00-20:00,0.0,5640.0
2025-09-23,20:00-24:00,5333.33,3000.0
2025-09-23,0:00储电量,6000.0,
2025-09-23,24:00储电量,6000.0,
2025-12-21,0:00-4:00,4407.41,0.0
2025-12-21,4:00-8:00,925.93,6384.75
2025-12-21,8:00-12:00,3909.6,685.17
2025-12-21,12:00-16:00,5929.97,900.13
2025-12-21,16:00-20:00,0.0,6228.12
2025-12-21,20:00-24:00,5333.33,2411.88
2025-12-21,0:00储电量,6000.0,
2025-12-21,24:00储电量,6000.0,
