日期,时间段,充电量kWh,放电量kWh
2025-03-20,0:00-4:00,4407.41,0.0
2025-03-20,4:00-8:00,925.93,5365.2
2025-03-20,8:00-12:00,6094.51,3274.8
2025-03-20,12:00-16:00,5178.84,491.41
2025-03-20,16:00-20:00,0.0,7149.27
2025-03-20,20:00-24:00,5333.33,1490.73
2025-03-20,0:00储电量,6000.0,
2025-03-20,24:00储电量,6000.0,
2025-06-21,0:00-4:00,0.0,3110.53
2025-06-21,4:00-8:00,925.93,1959.47
2025-06-21,8:00-12:00,4263.02,0.0
2025-06-21,12:00-16:00,6403.64,0.0
2025-06-21,16:00-20:00,0.0,6133.54
2025-06-21,20:00-24:00,5333.33,2506.46
2025-06-21,0:00储电量,6000.0,
2025-06-21,24:00储电量,6000.0,
2025-09-23,0:00-4:00,2555.56,0.0
2025-09-23,4:00-8:00,2777.78,6288.28
2025-09-23,8:00-12:00,5269.5,2351.72
2025-09-23,12:00-16:00,5583.75,151.13
2025-09-23,16:00-20:00,0.0,6390.0
2025-09-23,20:00-24:00,5333.33,2250.0
2025-09-23,0:00储电量,6000.0,
2025-09-23,24:00储电量,6000.0,
2025-12-21,0:00-4:00,5333.33,0.0
2025-12-21,4:00-8:00,0.0,6513.55
2025-12-21,8:00-12:00,5347.95,2126.45
2025-12-21,12:00-16:00,5452.75,108.57
2025-12-21,16:00-20:00,0.0,6228.12
2025-12-21,20:00-24:00,5333.33,2411.88
2025-12-21,0:00储电量,6000.0,
2025-12-21,24:00储电量,6000.0,
