日期,时段,计划购电量kWh,调整购电量kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,664.47,664.47
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,517.19,517.19
2025-03-20,18:00-18:10,0.0,0.0
2025-03-20,20:00-20:10,763.11,763.11
2025-03-20,全天计划购电量,70991.41,70991.41
2025-03-20,"全天购电费(实际电价结算,元)",44470.06,44470.06
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,146.68,146.68
2025-06-21,18:00-18:10,335.69,335.69
2025-06-21,20:00-20:10,0.0,0.0
2025-06-21,全天计划购电量,35746.94,35746.94
2025-06-21,"全天购电费(实际电价结算,元)",17793.35,17793.35
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,541.6,541.6
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,531.34,531.34
2025-09-23,18:00-18:10,29.44,29.44
2025-09-23,20:00-20:10,123.96,123.96
2025-09-23,全天计划购电量,70156.04,70156.04
2025-09-23,"全天购电费(实际电价结算,元)",45771.73,45771.73
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,630.17,630.17
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,423.84,423.84
2025-12-21,18:00-18:10,0.0,0.0
2025-12-21,20:00-20:10,0.0,0.0
2025-12-21,全天计划购电量,50764.99,50764.99
2025-12-21,"全天购电费(实际电价结算,元)",29936.98,29936.98
